1459568997.549000, /muse/elements/alpha_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/beta_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/delta_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/gamma_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/theta_relative, nan, nan, nan, nan
1459568997.549000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1459568997.549000, /muse/elements/is_good, 0, 0, 0, 0
1459568997.549000, /muse/elements/blink, 0
1459568997.550000, /muse/elements/jaw_clench, 1
1459568997.550000, /muse/elements/touching_forehead, 1
1459568997.550000, /muse/elements/experimental/concentration, 1.0
1459568997.550000, /muse/elements/experimental/mellow, 1.0
1459568997.550000, /muse/elements/raw_fft0, 12.499226, 18.055752, 19.187855, 22.459997, 21.29487, 15.196496, 7.4678593, 3.3492997, 4.7761436, 2.5067503, 2.6367757, 3.931065, 0.76408076, 1.4961424, 4.5574875, 2.3358736, 6.07076, 0.38049725, 2.230713, 3.0833824, 1.1002523, 0.54313105, 2.3644125, 2.6743639, 1.1831605, 5.583017, 1.5980557, 2.141327, 0.6821174, 2.1314225, 4.6818213, 5.7012935, 8.111081, -2.422398, -3.0012064, 2.5243928, 0.045365743, -0.031003797, 4.7213087, 1.188679, -6.397578, -8.61049, -0.5152831, 2.9733353, 5.4069724, 6.313742, 6.817021, 6.298028, 6.2508698, 3.2935457, 3.7952793, 3.2845209, -0.7724733, 9.169208, 13.086281, 4.633684, 1.0248315, 7.9409146, 3.9932053, 0.17171347, -5.2256527, -7.464743, -4.367393, -0.9045327, -3.1313527, -3.7338786, -2.7893527, -6.6234493, -9.322752, -15.999246, -15.858534, -9.118857, -11.519877, -9.041239, -5.5303874, -4.945831, -2.8640223, -1.4063412, -5.053151, -7.6723094, -1.8186063, -2.023472, 5.165277, 6.510182, -4.0439377, 7.786658, 9.964851, 4.5046353, -0.5673251, 1.7229177, -2.2861156, 0.051841915, 4.6257105, 1.0507643, 4.224641, 7.8197355, 5.9119525, 2.126144, 1.0384399, 5.3072467, 6.601835, 3.6116383, 2.889861, -2.3089209, -1.1985474, 6.19359, 7.8135505, 5.3338823, 8.742788, 0.9633634, -1.6105064, 1.2232381, 2.7021503, 4.005039, 8.481471, 2.5260837, -5.404413, 1.0473694, 0.8836731, 1.305752, -3.0430331, -7.2563467, -5.5548263, 3.5170002, 3.9069295, -2.309949, -3.13435, -1.3770529, -7.7094183
1459568997.551000, /muse/elements/raw_fft1, 27.571257, 31.982195, 26.282288, 24.66182, 23.225622, 26.833786, 25.698826, 27.386303, 24.746021, 23.49614, 18.089275, 22.95411, 26.031538, 22.683542, 22.630342, 22.906511, 22.151049, 20.44147, 14.630241, 17.653471, 18.252077, 20.135082, 20.203997, 20.196655, 17.344852, 20.560255, 21.517303, 11.333642, 7.999436, 12.92925, 19.444294, 23.406956, 26.475119, 19.159737, 15.612001, 16.302053, 15.335503, 14.46977, 15.855453, 15.635651, 14.050658, 14.858171, 18.280096, 23.026701, 21.656897, 21.71117, 20.968517, 22.871458, 23.208353, 19.62796, 18.500813, 19.580849, 17.296547, 25.908895, 29.304783, 19.95964, 19.308002, 26.939156, 23.32251, 17.837496, 11.396059, 15.451212, 18.110708, 18.130526, 15.905923, 12.294682, 14.222126, 12.954823, 15.486395, 11.533345, 11.114587, 7.9931393, 11.061308, 10.615136, 12.598403, 14.499813, 18.27147, 20.323412, 17.938671, 13.049973, 14.523264, 12.776356, 24.285984, 25.036396, 11.089622, 22.926943, 25.135082, 20.926825, 15.741904, 17.579792, 12.748463, 17.513182, 21.205254, 20.674648, 21.302732, 25.787216, 22.68693, 18.70419, 19.294556, 21.389067, 22.745335, 16.901438, 22.438305, 20.152733, 14.802395, 21.888025, 24.101326, 20.583351, 25.577253, 20.044395, 15.74048, 15.684978, 19.19238, 22.007227, 26.12562, 19.745304, 13.299622, 17.817833, 18.611422, 18.060688, 15.0491, 10.792572, 12.936342, 19.716795, 19.983252, 12.531342, 14.980918, 17.156918, 9.868564
1459568997.552000, /muse/elements/raw_fft2, 14.908957, 19.667686, 25.167633, 22.823412, 17.29032, 22.581987, 22.909605, 22.143568, 25.969488, 19.78996, 21.733435, 18.0242, 18.126944, 21.87848, 21.367863, 21.37942, 20.502882, 18.018585, 9.328548, 13.431963, 17.646708, 19.667332, 20.162144, 15.395311, 16.137598, 15.530303, 15.987991, 6.7288637, 8.771757, 11.922599, 13.624902, 18.614786, 22.324667, 15.162529, 15.52149, 13.542386, 9.634426, 10.4250965, 13.641734, 12.195564, 11.699948, 11.474692, 12.131454, 17.443703, 19.26241, 19.917841, 18.83675, 18.865797, 17.253036, 14.878039, 16.030067, 14.315848, 12.375618, 23.058496, 26.025543, 16.093885, 15.398007, 23.897934, 20.809242, 15.525177, 8.720155, 7.8039117, 13.978781, 14.7846155, 12.7484865, 12.361398, 9.320835, 10.20896, 11.75066, 7.6266565, 5.114558, 6.2558384, 3.911641, 6.2288413, 9.294646, 11.359309, 14.59295, 16.497955, 13.641458, 5.595967, 10.807229, 13.265699, 19.678696, 20.460224, 9.574493, 20.008068, 22.561531, 17.318386, 11.6805525, 13.618946, 7.3684573, 13.716924, 17.44707, 16.574453, 15.197275, 20.76958, 18.551748, 16.217348, 16.32649, 17.362467, 17.818394, 15.049932, 17.80741, 15.005934, 11.2076235, 18.87403, 21.086031, 18.046085, 23.07976, 16.105522, 11.420583, 15.126274, 17.209986, 19.123913, 22.623116, 16.330355, 9.909076, 15.92411, 14.602348, 14.914363, 11.337797, 4.6219835, 7.204112, 16.09462, 16.0192, 10.969061, 13.740403, 13.510867, 11.143266
1459568997.552000, /muse/elements/raw_fft3, 10.066915, 18.0325, 21.448648, 21.896076, 16.577255, 9.798454, 6.3357735, 10.590272, 7.103159, 1.6691611, -4.0519543, -1.081045, 6.3275714, 7.2750397, 10.107505, 9.473722, 9.301614, 7.578043, 1.8028046, 2.7649794, 6.0172744, 6.133363, 4.3810325, 7.6292324, 4.5977516, 5.994185, 5.753128, 2.7912161, -0.8277414, 4.7527547, 3.964181, 9.067338, 12.667639, 2.537231, 1.0107336, 5.4210052, 1.8070085, 1.9439259, 4.8622856, -1.468791, -5.1629205, -8.047391, -0.48173273, 6.6707063, 7.8375244, 7.764828, 7.2469497, 8.22105, 8.205312, 3.702252, 6.2359424, 3.790469, 0.36905286, 11.014865, 14.689692, 5.697296, 4.2485795, 11.336348, 7.07126, 0.42482927, -3.100611, -1.7304986, -2.2551656, -0.37457103, -2.1536508, -2.4704442, 0.3277153, -4.537862, -6.205979, -6.472746, -8.06316, -8.067741, -8.614857, -7.9318733, -4.820365, -1.55354, 2.327037, 4.836272, 0.6076644, -4.1586018, 1.2410256, 1.7376211, 7.0435333, 7.7819815, -0.877459, 9.535677, 12.061958, 6.2455316, 2.3658266, 3.888535, -3.619853, 2.682686, 7.451223, 4.248533, 6.197893, 10.116347, 7.0049834, 3.2362406, 3.4764879, 5.3483267, 6.4027753, 4.210734, 5.0125537, 0.8502321, -0.38530594, 7.531304, 9.909082, 6.088403, 9.831409, 3.6900332, -1.0290424, -0.13831005, 4.456916, 7.005066, 9.835982, 3.3324108, -0.8130634, 3.2765775, 2.6303806, 2.4719913, -0.96921736, -5.570323, -3.8624568, 3.147517, 4.747354, -2.0013943, 0.91934305, 2.550088, -4.938873
1459568997.552000, /muse/elements/low_freqs_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.552000, /muse/elements/alpha_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.552000, /muse/elements/beta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.552000, /muse/elements/delta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.553000, /muse/elements/gamma_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.553000, /muse/elements/theta_absolute, 0.0, 0.0, 0.0, 0.0
1459568997.553000, /muse/elements/alpha_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.553000, /muse/elements/beta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.553000, /muse/elements/delta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.553000, /muse/elements/gamma_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.553000, /muse/elements/theta_session_score, 1.0, 1.0, 1.0, 1.0
1459568997.553000, /muse/acc, 484.37576, 847.6576, 246.09413
1459568997.553000, /muse/acc, 484.37576, 851.56384, 242.18788
1459568997.553000, /muse/drlref, 1645161.2, 1651612.9
1459568997.553000, /muse/acc, 476.56323, 847.6576, 238.28162
1459568997.632000, /muse/config, '{"drlref_conversion_factor": 3225.806396484375, "acc_sample_frequency_hz": 50, "battery_percent_remaining": 12, "eeg_downsample": 16, "notch_frequency_hz": 60, "eeg_locations": [45, 2, 4, 55], "eeg_units": 2, "eeg_output_frequency_hz": 220, "eeg_conversion_factor": 1.6449803113937378, "eeg_channel_layout": "TP9 FP1 FP2 TP10 ", "acc_data_enabled": true, "eeg_sample_frequency_hz": 3520, "mac_addr": "0006666BF924", "preset": "14", "drlref_sample_frequency_hz": 10, "serial_number": "1150-JNE9-F924", "filters_enabled": true, "battery_millivolts": 3665, "acc_units": 2, "battery_data_enabled": true, "afe_gain": 1961.0, "compression_enabled": true, "eeg_channel_count": 4, "error_data_enabled": true, "acc_conversion_factor": 3.9062561988830566, "eeg_samples_bitwidth": 10, "drlref_data_enabled": true}'
1459568997.641000, /muse/version, '{"build_number": "45", "firmware_type": "Research", "hardware_version": "15.0.0", "firmware_headset_version": "", "protocol_version": "2", "firmware_bootloader_version": "7.6.0"}'
1459568997.648000, /muse/acc, 476.563232422, 847.657592773, 234.375366211
1459568997.652000, /muse/eeg, 891.579345703, 407.95513916, 511.588897705, 883.354431152
1459568997.656000, /muse/eeg/quantization, 1, 128, 128, 16
1459568997.657000, /muse/eeg, 840.584960938, 829.070068359, 722.146362305, 830.715087891
1459568997.657000, /muse/eeg, 891.579345703, 407.95513916, 511.588897705, 883.354431152
1459568997.657000, /muse/eeg, 842.229919434, 829.070068359, 722.146362305, 830.715087891
1459568997.657000, /muse/eeg, 842.229919434, 829.070068359, 722.146362305, 830.715087891
1459568997.657000, /muse/eeg, 868.549621582, 618.512634277, 722.146362305, 883.354431152
1459568997.657000, /muse/eeg, 843.874938965, 829.070068359, 932.703857422, 857.034729004
1459568997.657000, /muse/eeg, 903.094238281, 407.95513916, 722.146362305, 909.674133301
1459568997.657000, /muse/eeg, 908.029174805, 407.95513916, 722.146362305, 909.674133301
1459568997.657000, /muse/eeg, 850.454833984, 829.070068359, 932.703857422, 857.034729004
1459568997.657000, /muse/eeg, 817.555236816, 1039.62756348, 1143.26135254, 804.395385742
1459568997.657000, /muse/eeg, 848.809875488, 618.512634277, 932.703857422, 830.715087891
1459568997.657000, /muse/eeg, 809.330322266, 1039.62756348, 1143.26135254, 804.395385742
1459568997.657000, /muse/eeg, 873.484558105, 618.512634277, 722.146362305, 857.034729004
1459568997.657000, /muse/eeg, 838.940002441, 829.070068359, 932.703857422, 857.034729004
1459568997.657000, /muse/eeg, 812.620300293, 1039.62756348, 932.703857422, 830.715087891
1459568997.657000, /muse/acc, 472.656982422, 847.657592773, 230.469116211
1459568997.657000, /muse/acc, 468.750732422, 847.657592773, 230.469116211
1459568997.657000, /muse/acc, 472.656982422, 847.657592773, 230.469116211
1459568997.657000, /muse/eeg, 868.549621582, 723.791320801, 827.425109863, 878.419494629
1459568997.658000, /muse/eeg/quantization, 1, 64, 64, 1
1459568997.658000, /muse/eeg, 850.454833984, 1039.62756348, 932.703857422, 873.484558105
